Region,2016,2017,2018,2019,2020,2021,2022,2023,2025,Variation,Latitude,Longitude
Agra,97.41,97.78,98.87,99.08,100.0,97.66,88.91,97.83,98.94,1.11,27.1767,78.0081
Ahmedabad,93.12,95.65,95.46,95.74,99.92,96.08,89.34,99.1,98.26,-0.84,23.0225,72.5714
Bangalore,97.22,98.7,98.85,98.22,100.0,97.71,95.61,99.35,99.29,-0.06,12.9716,77.5946
Bhopal,96.08,96.5,97.06,98.76,100.0,96.05,88.65,97.4,99.4,2.0,23.2599,77.4126
Bhubaneshwar,95.01,98.19,99.14,99.5,100.0,97.54,91.83,97.44,97.03,-0.41,20.2961,85.8245
Chandigarh,96.82,98.84,99.3,99.02,100.0,98.66,95.36,99.13,99.23,0.1,30.7333,76.7794
Chennai,98.12,97.91,98.79,99.3,100.0,97.16,95.34,98.86,97.85,-1.01,13.0827,80.2707
Dehradun,96.96,98.72,99.23,99.51,100.0,97.27,95.81,99.77,99.16,-0.61,30.3165,78.0322
Delhi,95.96,98.03,99.43,99.32,99.98,99.53,95.29,99.27,99.11,-0.16,28.7041,77.1025
Ernakulam,99.13,99.91,99.87,99.35,100.0,99.18,99.89,99.94,99.91,-0.03,9.9312,76.2673
Gurugram,97.76,98.31,99.6,99.8,100.0,96.95,95.0,99.42,99.57,0.15,,
Guwahati,95.83,97.73,97.91,99.3,100.0,99.11,97.36,99.21,99.44,0.23,26.1445,91.7362
Hyderabad,97.66,98.46,98.9,99.24,100.0,99.5,99.25,99.9,99.95,0.05,17.385,78.4867
Jabalpur,93.85,97.12,98.02,98.53,100.0,94.83,84.83,97.87,99.01,1.14,23.1815,79.9864
Jaipur,96.06,98.17,98.56,97.71,100.0,99.08,93.62,99.27,99.58,0.31,26.9124,75.7873
Jammu,94.85,96.21,97.14,97.86,100.0,99.15,97.09,99.43,99.87,0.44,32.7266,74.857
Kolkata,93.96,97.21,99.07,99.04,100.0,96.35,89.68,97.28,98.23,0.95,22.5726,88.3639
Lucknow,97.15,97.63,98.61,98.89,100.0,95.73,89.17,98.63,99.41,0.78,26.8467,80.9462
Mumbai,96.58,98.23,98.31,94.93,100.0,88.33,85.84,97.72,99.2,1.48,19.076,72.8777
Patna,96.49,97.29,97.87,99.3,100.0,98.39,92.51,99.25,99.75,0.5,25.5941,85.1376
Raipur,92.3,96.54,98.55,98.22,100.0,92.89,83.94,99.07,98.68,-0.39,21.2514,81.6296
Ranchi,93.24,97.14,98.64,98.82,100.0,97.3,91.99,99.52,99.88,0.36,23.3441,85.3096
Silchar,93.42,95.89,97.46,97.46,100.0,98.49,97.69,99.06,97.77,-1.29,24.8333,92.7789
Tinsukia,89.35,94.46,93.67,97.26,99.93,98.47,96.66,98.42,98.11,-0.31,27.4924,95.355
Varanasi,96.69,97.88,98.64,98.89,100.0,96.7,90.13,99.31,99.77,0.46,25.3176,82.9739
